"coun_dist","Borough","num_greenroofs","greenroof_area_sqmeters","num_bldgs_total","bldg_area_total_sqmeters","prop_greenroofs_of_bldgs","prop_greenroofarea_of_bldgarea","hvi_nta_2018_max","prop_gipriority"
"1","Manhattan",107,22113.0148385082,5595,2614865.1232623,0.019124218051832,0.00845665600179029,4,0.755634386
"10","Manhattan",1,203.383668034227,2605,1510679.01016706,0.000383877159309021,0.000134630630772936,3,0.722754566
"11","Bronx",8,5602.45266387988,10337,2472520.66277057,0.000773918931991874,0.00226588709580372,4,0.859894479
"12","Bronx",0,0,21453,2693528.91078787,0,0,5,0.783213726
"13","Bronx",3,1006.37050095679,30830,3987455.37377831,9.73078170613039e-05,0.000252384141418793,5,0.492435692
"14","Bronx",9,1048.83572719937,4481,1486185.11136366,0.00200848024994421,0.000705723478979683,5,0.999756762
"15","Bronx",11,2305.15850685739,7866,1980468.13680605,0.00139842359521993,0.00116394627311448,5,0.722039334
"16","Bronx",19,3381.64761939044,3830,1477727.27398997,0.00496083550913838,0.00228841118311348,5,0.999796249
"17","Bronx",18,5859.01883693467,9086,3235330.69804005,0.00198106977767995,0.00181094898289193,5,0.833213564
"18","Bronx",3,2413.75624839745,13474,2103463.8568448,0.000222651031616447,0.00114751496230512,4,0.906842516
"19","Queens",1,828.241705748598,50731,5787837.17622475,1.97118132897045e-05,0.000143100381114874,2,0.472690235
"2","Manhattan",44,11289.1272807414,4928,1652908.84260674,0.00892857142857143,0.00682985473230194,3,0.948270036
"20","Queens",3,4148.44674857551,22154,2962989.32664672,0.000135415726279679,0.00140008832001781,3,0.939636744
"21","Queens",2,1452.19446990339,17099,2359878.19078091,0.000116965904438856,0.000615368401460941,4,0.49937353
"22","Queens",1,124.446081871492,22804,3437649.3474341,4.38519557972286e-05,3.62009237400492e-05,3,0.722702129
"23","Queens",0,0,49860,4683461.2523805,0,0,5,0.368094107
"24","Queens",1,200.278054726,28335,3364997.04895203,3.52920416446091e-05,5.95180476572403e-05,5,0.662682392
"25","Queens",1,27.4413915210993,13806,1956569.07839457,7.24322758221063e-05,1.40252607608497e-05,3,1
"26","Queens",24,10606.1093298216,15190,4226002.6999348,0.00157998683344305,0.00250972611304419,4,0.880899501
"27","Queens",3,408.592486076671,52311,4688496.07333367,5.73493146756896e-05,8.7147878485083e-05,5,9.22e-05
"28","Queens",1,239.249274650888,43625,4442112.94780234,2.29226361031519e-05,5.38593406926433e-05,5,0.260996657
"29","Queens",7,3186.72080442732,20388,2854777.9044177,0.000343339219148519,0.00111627626075428,4,0.93126875
"3","Manhattan",131,60525.1526225057,7964,3488538.82993649,0.016449020592667,0.0173497144716052,2,0.894186342
"30","Queens",0,0,41641,4936704.05756704,0,0,3,0.773386081
"31","Queens",5,971.857431625532,36152,4144493.33005496,0.000138304934720071,0.000234493665263697,5,0
"32","Brooklyn",1,1233.98780230777,42186,4375966.62568168,2.37045465320248e-05,0.000281992050639906,4,0.329681217
"33","Brooklyn",53,16843.6104648919,14893,3957131.161325,0.00355871886120996,0.00425652064038534,5,0.782010793
"34","Brooklyn",10,1124.68218794809,15590,3423052.98040349,0.00064143681847338,0.00032856113954027,5,0.843450918
"35","Brooklyn",15,15322.8661849148,13085,2423261.45032948,0.0011463507833397,0.00632324101174946,5,1
"36","Brooklyn",5,440.242761778933,15834,2284359.43421718,0.000315776177845143,0.000192720442844757,5,1
"37","Brooklyn",1,14.2480937836095,19503,2556228.8459863,5.12741629492899e-05,5.57387254508975e-06,5,0.918642406
"38","Brooklyn",7,8366.29182652249,18176,3563330.42362736,0.00038512323943662,0.00234788549808576,4,0.656332694
"39","Brooklyn",24,4079.75056714301,21359,3079647.50216288,0.00112364811086661,0.00132474595364494,4,0.971080801
"4","Manhattan",80,16239.9398366244,5863,3034687.2009804,0.0136448916936722,0.00535143781256198,4,0.967965509
"40","Brooklyn",3,419.3085845268,10796,2052948.97777124,0.000277880696554279,0.000204246958432458,5,0.999374937
"41","Brooklyn",0,0,15978,2202666.52265526,0,0,5,1
"42","Brooklyn",5,401.605165304676,16746,3210428.14619144,0.000298578765078228,0.000125093958505536,5,0.595139084
"43","Brooklyn",3,1122.79968041599,32306,3435426.76968817,9.28620070575125e-05,0.000326829752368118,3,0.697869593
"44","Brooklyn",0,0,23016,2981030.51857572,0,0,4,0.973336888
"45","Brooklyn",0,0,31506,3322836.40995291,0,0,5,0.94422009
"46","Brooklyn",2,599.70081139522,38985,3835260.41130006,5.13017827369501e-05,0.00015636508270163,4,0.144127593
"47","Brooklyn",4,592.622271791935,24124,2979927.81740214,0.000165809981760902,0.0001988713512895,4,0.245563159
"48","Brooklyn",2,831.613598507497,23686,3139517.42461183,8.44380646795575e-05,0.00026488580441955,3,0.090327522
"49","Staten Island",4,1826.89753727477,40098,4746849.90538981,9.97555987829817e-05,0.00038486524193664,4,0.352982292
"5","Manhattan",25,3581.3494765179,3347,1296261.37809503,0.00746937556020317,0.00276282973251969,4,0.80590799
"50","Staten Island",0,0,51204,6145895.8564645,0,0,4,0.080139772
"51","Staten Island",0,0,49049,5961795.42394798,0,0,1,0
"6","Manhattan",28,8499.22389300527,4079,1524614.69797628,0.00686442755577347,0.00557467004895521,2,0.653264566
"7","Manhattan",20,8482.23568331785,3242,1441641.69601015,0.00616903146206046,0.00588373359815622,4,0.820163386
"8","Manhattan/ Bronx",26,9349.21411655796,5508,2155554.35357725,0.004720406681191,0.00433726669941887,5,0.99535083
"9","Manhattan",15,8894.76286340318,5824,1667799.73889388,0.00257554945054945,0.00533323195583566,5,0.999927064
